"APELLIDO","NOMBRE","Apellido y Nombre Diputado","BLOQUE","PROVINCIA","¿CÓMO VOTÓ?"
"NAIM"," Lidia Lucía","NAIM Lidia Lucía","Solidaridad e Igualdad (SI)","Buenos Aires","NEGATIVO"
"OBEID"," Jorge Alberto","OBEID Jorge Alberto","Santa Fe Federal","Santa Fe","NEGATIVO"
"OBIGLIO"," Julián Martín","OBIGLIO Julián Martín","Propuesta Republicana","C.A.B.A.","NEGATIVO"
"OLIVA"," Cristian Rodolfo","OLIVA Cristian Rodolfo","Frente Cívico por Santiago","Santiago del Estero","AFIRMATIVO"
"OSORIO"," Marta Lucía","OSORIO Marta Lucía","Frente para la Victoria - PJ","La Pampa","AFIRMATIVO"
"PAIS"," Juan Mario","PAIS Juan Mario","Frente para la Victoria - PJ","Chubut","AFIRMATIVO"
"PAREDES URQUIZA"," Alberto Nicolás","PAREDES URQUIZA Alberto Nicolás","Frente para la Victoria - PJ","La Rioja","AFIRMATIVO"
"PAROLI"," Raúl Omar","PAROLI Raúl Omar","Frente Cívico y Social de Catamarca","Catamarca","NEGATIVO"
"PASINI"," Ariel Osvaldo","PASINI Ariel Osvaldo","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"PASTORIZA"," Eduardo Antonio","PASTORIZA Eduardo Antonio","Bloque por la Verdad","Catamarca","AFIRMATIVO"
"PASTORIZA"," Mirta Ameliana","PASTORIZA Mirta Ameliana","Frente Cívico por Santiago","Santiago del Estero","AFIRMATIVO"
"PERALTA"," Fabián Francisco","PERALTA Fabián Francisco","GEN","Santa Fe","NEGATIVO"
"PEREYRA"," Guillermo Antonio","PEREYRA Guillermo Antonio","Frente para la Victoria - PJ","Mendoza","AFIRMATIVO"
"PEREZ"," Jorge Raúl","PEREZ Jorge Raúl","Frente Cívico por Santiago","Santiago del Estero","AFIRMATIVO"
"PEREZ"," José Adrián","PEREZ José Adrián","Coalición Cívica - ARI - GEN - UPT","Buenos Aires","NEGATIVO"
"PERIE"," Hugo Rubén","PERIE Hugo Rubén","Frente para la Victoria - PJ","Corrientes","AFIRMATIVO"
"PERIE"," Julia Argentina","PERIE Julia Argentina","Frente para la Victoria - PJ","Misiones","AFIRMATIVO"
"PETIT"," María de los Angeles","PETIT María de los Angeles","Peronismo Federal","Entre Ríos","NEGATIVO"
"PINEDO"," Federico","PINEDO Federico","Propuesta Republicana","C.A.B.A.","AUSENTE"
"PIUMATO"," Julio Juán","PIUMATO Julio Juán","Frente para la Victoria - PJ","C.A.B.A.","AFIRMATIVO"
"PORTELA"," Agustín Alberto","PORTELA Agustín Alberto","Unión Cívica Radical","Corrientes","NEGATIVO"
"PORTO"," Héctor Norberto","PORTO Héctor Norberto","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"PRIETO"," Hugo Nelson","PRIETO Hugo Nelson","De la Concertación","Neuquén","AFIRMATIVO"
"PUIGGROS"," Adriana Victoria","PUIGGROS Adriana Victoria","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"QUIROZ"," Elsa Siria","QUIROZ Elsa Siria","Coalición Cívica - ARI - GEN - UPT","Buenos Aires","NEGATIVO"
"RAIMUNDI"," Carlos","RAIMUNDI Carlos","Solidaridad e Igualdad (SI)","Buenos Aires","NEGATIVO"
"RECALDE"," Héctor Pedro","RECALDE Héctor Pedro","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"REJAL"," Jesús Fernando","REJAL Jesús Fernando","Frente para la Victoria - PJ","La Rioja","AFIRMATIVO"
"REYES"," María Fernanda","REYES María Fernanda","Coalición Cívica - ARI - GEN - UPT","C.A.B.A.","AUSENTE"
"RICO"," María del Carmen Cecilia","RICO María del Carmen Cecilia","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"RIOBOO"," Sandra Adriana","RIOBOO Sandra Adriana","Unión Cívica Radical","Buenos Aires","NEGATIVO"
"RIVAS"," Jorge","RIVAS Jorge","Encuentro Popular y Social","Buenos Aires","NEGATIVO"
"RODRIGUEZ"," Evaristo Arturo","RODRIGUEZ Evaristo Arturo","Frente para la Victoria - PJ","Santa Cruz","AFIRMATIVO"
"RODRIGUEZ"," Marcela Virginia","RODRIGUEZ Marcela Virginia","Coalición Cívica - ARI - GEN - UPT","Buenos Aires","AUSENTE"
"ROJKES de ALPEROVICH"," Beatriz Liliana","ROJKES de ALPEROVICH Beatriz Liliana","Frente para la Victoria - PJ","Tucumán","AFIRMATIVO"
"ROLDAN"," José María","ROLDAN José María","Frente De Todos","Corrientes","AUSENTE"
"ROMAN"," Carmen","ROMAN Carmen","Frente para la Victoria - PJ","Formosa","AFIRMATIVO"
"ROSSI"," Agustín","ROSSI Agustín","Frente para la Victoria - PJ","Santa Fe","AFIRMATIVO"
